id,country,city,line,phase,start_year,end_year,rr,length,tunnel_pct,tunnel_km,elevated,atgrade,stations,cost_km_real,real_cost_total
,JP,Tokyo,Yokohama Subway Blue Line,Totsuka-Shonandai,1995,1999,,7.4,95.95,7.1,0.3,,6,264.8,1959.2
,JP,Tokyo,Yokohama Subway Green Line,Nakayama-Hiyoshi,2001,2008,,13.1,81.68,10.7,2.4,,10,235.7,3088.2
,JP,Tokyo,Yokohama Subway Blue Line,Kamiooka- Isezaki Choujamachi,1967,1972,,5.7,100,5.7,,,6,170.2,970.2
,JP,Tokyo,Yokohama Subway Blue Line,Kamiooka-Kami Nagaya/ Isezaki Chojamachi - Yokohama,1973,1976,,6.6,100,6.6,,,6,222.7,1470.0
,JP,Tokyo,Yokohama Subway Blue Line,Kami Nagaya - Totsuka,1983,1985,,9.1,82.36,7.495,1.605,,4,237.8,2163.7
,JP,Tokyo,Yokohama Subway Blue Line,Maioka-Totsuka,1983,1987,,1.6,100,1.6,,,2,365.0,583.9
,JP,Nagoya,Tsurumai Line,Kami-Otai-Shonai Ryokuchi Koen,1981,1993,,1.4,100,1.4,,,1,345.9,484.2
,JP,Nagoya,Sakuradoori Line,Imaike-Nonami,1987,1994,,8.3,100,8.3,,,9,260.0,2157.8
,JP,Nagoya,Kami-Iida/Meijo Line,Heiandoori-Kamiida/Ozone-Sunadabashi/Sunadabashi-Nagoya Daigaku,1996,2003,,6.2,100,6.2,,,8,325.6,2019.0
,JP,Nagoya,Meijo Line,Nagoya Daigaku - Aratamabashi,1997,2004,,5.1,100,5.1,,,5,233.2,1189.3
,JP,Nagoya,Sakuradoori Line,Nonami-Tokushige,2006,2011,,4.1,100,4.1,,,4,218.3,894.9
,JP,Nagoya,Sakuradoori Line,(Taiko-doori) Nakamura Shiyakusho - Imaike,1983,1989,,7.5,100,7.5,,,8,453.4,3400.5
,JP,Nagoya,Higashiyama Line,Nagoya Station-Sakaemachi Station,1954,1957,,2.6,100,2.6,,,3,69.4,180.5
,JP,Nagoya,Higashiyama Line,Sakaemachi-Ikeshita,1954,1960,,3.5,100,3.5,,,4,70.6,247.2
,JP,Nagoya,Higashiyama Line,Ikeshita-Higashiyama Koen,1961,1963,,2.6,100,2.6,,,3,101.1,262.9
,JP,Nagoya,Meijo Line,Sakaemachi-Shiyakusho (Nagoya Jo now)/Sakae-Kaneyama,1964,1967,,4.6,100,4.6,,,7,97.3,447.6
,JP,Nagoya,Higashiayama Lines,Higashiyama Koen -Hoshigaoka,1965,1967,,1.2,100,1.2,,,1,93.0,111.6
,JP,Nagoya,Higashiyama Line,"Hoshigaoka-Fujigaoka, Nagoya-Nakamura Kouen",1962,1969,,8.5,56,4.8,3.7,,4,90.4,768.5
,JP,Nagoya,Meiko Line,Kaneyama-Nagoyako,1969,1971,,6.1,100,6.1,,,7,138.3,843.6
,JP,Nagoya,Meijo Line,Shiyakusho-Ozone,1969,1971,,4.6,100,4.6,,,5,147.8,680.0
,JP,Nagoya,Meijo Line,Kaneyama-Aratamebashi,1971,1974,,5.6,100,5.6,,,6,116.2,650.6
,JP,Nagoya,Tsurumai Line,Fushimi-Yagoto,1973,1977,,8.4,100,8.4,,,8,165.2,1387.5
,JP,Nagoya,Tsurumai Line,Yakoto-Shiogamaguchi-Akaike,1975,1978,,5.7,95,5.4,0.3,,5,181.8,1036.3
,JP,Nagoya,Tsurumai Line,Joushin-Fushimi,1977,1981,,2.9,100,2.9,,,3,259.4,752.4
,JP,Nagoya,Higashiyama Line,Nakamura Koen-Takabata,1978,1982,,3,100,3,,,3,301.5,904.4
,JP,Nagoya,Tsurumai Line,Shōnai Ryokuchi Kōen-Joushin,1980,1984,,2.8,100,2.8,,,2,227.3,636.6
,JP,Kobe,Kaigan Line,ShinNagata- Sannomiya Hanadoke,1994,2001,,8.1,100,8.1,,,10,344.6,2791.0
,JP,Kobe,Hokushin Line,Shin-Kobe - Tanigami,1982,1988,,7.9,95,7.5,0.4,,2,98.2,775.6
,JP,Osaka,Imazatosuji Line,Imazato - Itakono,2000,2006,,12.1,100,12.1,,,11,276.0,3340.0
,JP,Osaka,Nagahori Tsurumi Ryokichi Line,Kyoubashi - Tsurumi Ryokuchi,1986,1990,,5.6,100,5.6,,,5,259.9,1455.4
,JP,Osaka,Nagahori Tsurumi Ryokichi Line,Shinsaibashi - Kyoubashi,1987,1996,,5.5,100,5.5,,,7,342.7,1884.6
,JP,Osaka,Nagahori Tsurumi Ryokichi Line,Taisho - Shinsaibashi,1987,1997,,2.9,100,2.9,,,4,343.7,996.7
