s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,"Platform Length 
(Meters)",Source1,Cost,Currency,Year,PPP rate,Real cost,"Cost/km
 (Millions)",Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,
8065,CN,Beijing,Line 5,Line 5,2002,2007,0,27.6,,,#N/A,#N/A,23,,Media,"12,000.00",CNY,2004,0.3550,4260.00,154.3,0,0,0,0,1.705211752,"7,264.2",263.2,Media,http://finance.sina.com.cn/b/20040419/0854725033.shtml,,
7960,CN,Beijing,Line 10,Line 10 North and East,2003,2008,0,24.64,100.00%,24.64,0,0,22,,Media,"13,700.00",CNY,2005,0.3519,4821.03,195.7,0,0,0,0,1.649331797,"7,951.5",322.7,Media,http://news.sciencenet.cn/sbhtmlnews/2008/8/209799.html,,
8139,CN,Beijing,Capital Airport Express,Capital Airport Express,2005,2008,0,28.1,0.00%,0,17.315,10.785,4,,Measured,622.30,CNY,2005,0.3519,218.99,7.8,0,0,0,0,1.649331797,361.2,12.9,Media,http://news.sciencenet.cn/sbhtmlnews/2008/8/209799.html,,
7987,CN,Beijing,Line 8,Line 8 Phase 1 for Olympics,2005,2008,0,4.528,100.00%,4.528,0,0,4,,Media,"2,420.00",CNY,2005,0.3519,851.60,188.1,0,0,0,0,1.649331797,"1,404.6",310.2,Media,https://www.360kuai.com/pc/9fb76b182add530db?cota=4&kuai_so=1&tj_url=so_rec&sign=360_7bc3b157; http://itdzs.org/OnLineMagazine/PDFView.aspx?ID=4,,
7640,CN,Beijing,Line 4,Line 4,2004,2009,0,28.2,95.17%,26.837,0,0,24,117,Media,"15,380.00",CNY,2005,0.3519,5412.22,191.9,0,0,0,0,1.649331797,"8,926.5",316.5,Media,http://zizhan.mot.gov.cn/zhuantizhuanlan/qita/quanqiuhuanjingjijin/zhishigongxiang/201601/P020160125565596507649.pdf,,
8041,CN,Beijing,Daxing Line,Daxing Line,2007,2010,0,21.8,80.28%,17.5,4.36,0,11,,Media,"10,930.00",CNY,2007,0.3330,3639.69,167.0,0,0,0,0,1.553541974,"5,654.4",259.4,Media,http://www.mtr.bj.cn/article/5d510c0aebb1a36f5ef5981f.html,,
7650,CN,Beijing,Line 8,Line 8 Phase 2 North,,2011,0,10.7,100.00%,10.7,0,0,6,,Media,,CNY,2011,0.2840,,,0,0,0,0,1.432008233,,,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%818%E5%8F%B7%E7%BA%BF#%E4%BA%8C%E6%9C%9F%E5%B7%A5%E7%A8%8B,,
8145,CN,Beijing,Line 10,Line 10 South and West,2007,2012,0,32.46,100.00%,32.5,0,0,24,,Measured,,CNY,2007,0.3330,,,0,0,0,0,1.553541974,,,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%8110%E5%8F%B7%E7%BA%BF#%E4%BA%8C%E6%9C%9F%E5%B7%A5%E7%A8%8B,,
,CN,Beijing,Line 9,Line 9,2007,2012,0,16.5,100%,16.5,,,13,117,,"12,900.00",CNY,2010,0.3,3870.00,234.5,0,0,0,0,1.477209983,"5,716.8",346.5,,http://zqb.cyol.com/html/2012-12/31/nw.D110000zgqnb_20121231_3-06.htm,,
7832,CN,Beijing,Line 6,Line 6 Phase 1,2008,2012,0,30.4,100%,30.4,,,20,156,Wiki,"28,000.00",CNY,2010,0.3000,8400.00,276.3,0,0,0,0,1.477209983,"12,408.6",408.2,Media,http://zqb.cyol.com/html/2012-12/31/nw.D110000zgqnb_20121231_3-06.htm,,
8131,CN,Beijing,Line 8,Line 8 Northern Extension,2011,2013,0,6.328,73.45%,4.648,1.7091,0,3,,Measured,"3,212.20",CNY,2011,0.2840,912.26,144.2,0,0,0,0,1.432008233,"1,306.4",206.4,Media,https://max.book118.com/html/2017/1209/143431974.shtm,,
7651,CN,Beijing,Line 8,Line 8 Phase 2 South,,2013,0,4.447,100.00%,4.447,0,0,6,,Wiki,,CNY,2013,0.2730,,,0,0,0,0,1.382720845,,,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%818%E5%8F%B7%E7%BA%BF,,
8112,CN,Beijing,Line 15,Line 15 Phase 1,2009,2014,0,41.4,66.91%,27.7,13.605,0.471,18,117,Media,"18,100.00",CNY,2010,0.3000,5430.00,131.2,0,0,0,0,1.477209983,"8,021.3",193.8,Media,http://finance.ifeng.com/city/bj/20101117/2902241.shtml,,
